Price,Close,High,Low,Open,Volume
Ticker,BABA,BABA,BABA,BABA,BABA
Date,,,,,
2020-01-02,208.7144775390625,208.9139053771762,205.64695220643736,205.7039460799515,15873500
2020-01-03,206.0838165283203,207.22630240410257,205.1436132545173,205.4665205702207,8604500
2020-01-06,205.74192810058594,206.2357735674345,203.32020290667376,204.07996181924173,11885500
2020-01-07,206.68214416503906,207.9262423968381,205.7894284744116,206.69163589897454,9388000
2020-01-08,207.03350830078125,209.55019423364737,205.43802766965,205.70394110817188,11959100
2020-01-09,210.62335205078125,211.85795842621891,209.71165298268866,210.35743861498796,13122500
2020-01-10,212.5702362060547,214.59309121814218,210.89022839675087,212.6367073214513,12296000
2020-01-13,218.8856964111328,219.51249858005286,215.61874333927784,217.29970752276512,17544800
2020-01-14,215.096435546875,218.59605946240524,213.56742594770589,218.4773475820076,17266900
2020-01-15,213.7383575439453,216.35952505709415,213.102063623474,215.24836913840093,10743400
2020-01-16,212.67471313476562,214.94448373869665,211.52557574101135,214.91599404631566,13700500
2020-01-17,215.98912048339844,216.53045357310492,214.01376769428157,214.53608833582192,12956200
2020-01-21,211.07920837402344,211.40211569175455,209.62617616341896,211.25965274508602,15831100
2020-01-22,211.1836700439453,214.2321973344322,210.83228753523582,213.38696937396125,10059600
2020-01-23,208.10667419433594,209.05636921353528,205.8653933693776,206.96702857833992,18519900
2020-01-24,202.997314453125,208.7714620254019,200.69430108682104,207.49887415186353,18143900
2020-01-27,195.1338348388672,197.55556001229448,189.4641544706016,191.09763104688693,24574700
2020-01-28,199.6543731689453,200.30017329588105,196.7483088257232,199.1890318994253,16196700
2020-01-29,201.35433959960938,203.21573369971975,198.98010208024712,201.86716852766546,12871900
2020-01-30,198.08738708496094,199.3029955394485,194.71596689849488,197.4226034756624,14376000
2020-01-31,196.19749450683594,197.47008238041565,194.4291628090384,196.11202543126632,18181400
2020-02-03,202.38002014160156,204.2034328913611,198.17286355151546,198.17286355151546,14118800
2020-02-04,211.66802978515625,213.0925723090344,209.39825927675824,210.21499757009622,16695100
2020-02-05,209.14183044433594,215.29584988043058,206.5966403529071,215.12491173915913,15766100
2020-02-06,209.78761291503906,212.39927408052876,208.72395918664026,211.90544313016943,10790800
2020-02-07,205.63746643066406,206.88156461797413,204.07047540673236,206.52069035577196,13790300
2020-02-10,204.91571044921875,204.91571044921875,201.5252920747192,202.75989857081365,17420300
2020-02-11,206.28326416015625,208.9423986552951,204.4598369474951,208.8474378468665,16073500
2020-02-12,213.02609252929688,214.1752299061185,209.13235155223748,210.00606925183905,18671900
2020-02-13,209.27479553222656,213.68137985265116,207.97371798986202,208.93290474481446,28069700
2020-02-14,208.58151245117188,210.49039413825324,207.25193078855602,209.9775652267611,10690000
2020-02-18,209.42674255371094,209.74014363830892,206.56815136898172,207.5558422703564,12987000
2020-02-19,210.96524047851562,212.3138055996721,209.6451650472206,210.37643423311928,10798100
2020-02-20,207.0714874267578,211.30713342112293,203.44366013220778,211.30713342112293,14950100
2020-02-21,201.89566040039062,206.6536417149751,200.91747569113826,206.59664784129004,17681200
2020-02-24,195.7891387939453,196.8527926334503,192.32274309930676,193.31043408558716,19380200
2020-02-25,195.2667999267578,199.38847296833205,193.83276561723216,198.02090977692393,18132400
2020-02-26,198.23934936523438,202.36102239210948,196.3874324302758,196.39693865511327,19482100
2020-02-27,194.71595764160156,199.40745309035145,191.70542633953224,194.69695968475455,22741200
2020-02-28,197.53656005859375,198.41027771990943,188.57239335625826,188.97030709851802,31251100
2020-03-02,200.3666534423828,200.49011843350902,193.50605747068482,198.09688289953183,21542200
2020-03-03,196.9762420654297,200.75602408175067,192.0663206883344,200.46162095237833,20813800
2020-03-04,201.29736328125,202.00012832331117,198.34381118256584,198.95161541712483,12474400
2020-03-05,200.822509765625,204.32687212015233,198.6192104242291,199.43594869854715,13462900
2020-03-06,194.34559631347656,196.58687723258774,190.9836821804081,196.30196581662005,21700500
2020-03-09,187.7167205810547,189.83453641191434,184.17434773317314,185.7793346308617,25502600
2020-03-10,196.007568359375,197.01424283265985,190.69877630274445,195.19083000518592,19022600
2020-03-11,188.90383911132812,192.88306354697804,186.24469016827652,191.50599418081487,18908200
2020-03-12,175.78855895996094,180.90455991689905,174.67740300294705,177.11812622900845,30247100
2020-03-13,184.24082946777344,186.13072772914444,178.362215116164,185.0955491688261,23650500
2020-03-16,169.8529510498047,178.54265422211574,165.721772137017,167.28876303982878,26628500
2020-03-17,175.51312255859375,179.86272719747495,170.65068901942647,172.14170256542477,19276500
2020-03-18,170.94509887695312,173.2338672898037,161.4481489393446,167.14631890190972,22054200
2020-03-19,171.78082275390625,177.83037479188727,168.4663822472301,170.24230712065307,20905700
2020-03-20,172.17970275878906,178.82756761826977,170.94509638664644,178.29574074810256,21006100
2020-03-23,167.46922302246094,169.52056782529283,161.4006721824807,166.45305684598924,22554700
2020-03-24,176.40585327148438,179.30242603501583,172.06573999296086,173.87966099304734,20801500
2020-03-25,179.07449340820312,185.370976124876,175.2329787321335,176.47233828772664,19605200
2020-03-26,185.49444580078125,186.44414085937743,178.16279878912297,179.1504752739365,15416800
2020-03-27,179.10296630859375,183.04420902745773,178.5426497685897,180.4135499706732,13376400
2020-03-30,181.64816284179688,181.8475906724832,177.60245295353025,178.04881075332676,12254400
2020-03-31,184.69668579101562,186.89047899664345,181.01187892036646,182.34144616886934,19084800
2020-04-01,178.1248016357422,183.1676800433051,175.73156604715086,179.96721235522617,17948600
2020-04-02,179.3973846435547,181.6766614010361,176.3507700713641,176.7192522052292,13412100
2020-04-03,177.6974334716797,180.96438661678263,176.08295485681717,180.5560102280469,9483100
2020-04-06,186.56756591796875,186.97594227289093,183.0062099339485,184.94359570432448,13248700
2020-04-07,188.03961181640625,191.31605669981658,187.13740445593032,189.98648948345163,14934500
2020-04-08,186.12123107910156,188.8563574490812,184.13067687044057,188.36251196756902,13608000
2020-04-09,186.49159240722656,190.27138873606816,183.67099725077307,188.65689573059763,17821300
2020-04-13,189.4071807861328,190.2476556783263,185.6938697079244,187.4697947926344,16117900
2020-04-14,194.47853088378906,197.50806009571673,193.9751937191134,194.63997728649684,16757100
2020-04-15,197.69801330566406,198.6287103805868,191.18310479881245,194.46905598953424,10768100
2020-04-16,201.96214294433594,202.52245951857537,198.6002145165078,199.93928794947655,16353800
2020-04-17,198.9611053466797,204.1654299636069,198.34475131205843,204.1654299636069,13558500
2020-04-20,201.45880126953125,205.22909150925125,198.82814211054173,199.31248133477345,19295400
2020-04-21,196.90977478027344,201.4588223371137,194.715981459932,199.34099187106213,14107600
2020-04-22,199.39797973632812,201.3353512686357,198.68570844646266,201.3353512686357,13471100
2020-04-23,194.9154052734375,199.96777509282555,193.2249493478532,199.66388023096545,20424000
2020-04-24,194.07968139648438,196.11202822801303,192.61715739260532,195.53271366667468,14673900
2020-04-27,193.44338989257812,197.3276392262065,191.86689260855013,197.1092134190353,17286800
2020-04-28,191.03115844726562,194.8679346634779,189.375843526159,194.50704589796968,17203800
2020-04-29,196.30194091796875,196.662829631833,192.32271680648978,192.72158694177384,19117800
2020-04-30,192.4746856689453,196.30195539460448,189.26471190244573,195.8745955389405,20107400
2020-05-01,184.69668579101562,187.45081007890897,183.15818447614856,185.90280253935506,22276200
2020-05-04,181.53419494628906,185.19052652283358,179.9956936708205,184.96259450412884,25709400
2020-05-05,185.2095184326172,188.29602710720962,184.43076159586934,186.50110418070983,22957200
2020-05-06,185.3519744873047,188.9038390630847,185.1240424666913,187.72621202670942,18598900
2020-05-07,186.60557556152344,188.12507886513424,184.98159073718406,188.03960979311523,16164600
2020-05-08,191.06915283203125,192.80709654343667,188.6854089396986,189.74907726866167,23819700
2020-05-11,195.06735229492188,196.24497934248924,192.19928375372407,192.57915596716074,17920700
2020-05-12,190.23341369628906,197.58405862134794,189.95800850712016,196.53938826685243,17826800
2020-05-13,189.42617797851562,194.3835727272552,188.02061889363839,193.3768983091649,22429700
2020-05-14,191.17361450195312,191.61997233016956,184.2693275017505,185.66538037022383,20025900
2020-05-15,193.43385314941406,194.2031182024435,190.03395810916427,190.60376636291147,17209500
2020-05-18,204.45034790039062,204.6307922773309,199.78734175675166,201.81019683752947,23556600
2020-05-19,206.2737579345703,209.49322351156715,204.36487613816914,205.82740011048907,21438100
2020-05-20,205.88438415527344,210.03170662501842,199.98678599145612,208.93291165140448,38324100
2020-05-21,201.4873046875,203.78556496273092,198.98960207623495,200.66106014244025,29850700
2020-05-22,189.65408325195312,194.5735107486065,188.97980793604285,193.00650534809157,51979300
2020-05-26,191.57247924804688,196.39693165470234,190.88869767915423,195.58019336359146,28683200
2020-05-27,191.05963134765625,192.7785914540969,186.8524894929907,192.7785914540969,23605400
2020-05-28,189.4546661376953,192.18977796122016,187.67872658333602,188.98931035767248,18763200
2020-05-29,196.95724487304688,197.42260063846606,186.8050030352439,189.9389994239787,43179500
2020-06-01,196.17849731445312,196.7767952927779,193.68079490100436,195.5421889309852,16169700
2020-06-02,203.54812622070312,203.77605823208216,196.7483067054468,196.78630261960762,22485800
2020-06-03,207.61282348632812,207.95471426425786,202.99730522987474,204.75424676752382,19999500
2020-06-04,207.0714874267578,208.932895966953,205.43802539018867,206.3497244575205,14962400
2020-06-05,208.5055389404297,209.49321535858226,207.69829239862753,208.93289878971498,11983200
2020-06-08,207.9832000732422,209.3127672452688,204.49782124474817,208.55302285622236,12731200
2020-06-09,209.61668395996094,209.61668395996094,205.32405845326423,205.4285254841085,14140100
2020-06-10,212.4277801513672,213.6813845632458,209.50273217270976,210.83229943573588,13372400
2020-06-11,204.412353515625,208.88540877394027,202.81685840753113,207.03350645389907,15560300
2020-06-12,206.69161987304688,208.45805315827278,203.12077187860123,207.5083581552738,12716500
2020-06-15,206.1123046875,206.76759655608112,202.04761124685885,203.33919702648657,17419900
2020-06-16,211.4210968017578,213.52942086642787,209.02787582931805,209.88259553501857,17212400
2020-06-17,212.96910095214844,213.6813721927911,211.30713472398227,213.11154940379876,12486700
2020-06-18,212.29481506347656,214.659560843001,211.70600879749847,212.48476565745275,10358800
2020-06-19,209.5406951904297,215.10590823025086,209.0183600647,214.99194947234443,19545200
2020-06-22,210.27197265625,210.9082665649715,208.40582546598517,209.80661689112728,13303600
2020-06-23,217.24273681640625,218.64354277377734,213.23502265442102,213.79533924089105,18263400
2020-06-24,214.8400115966797,219.40804238835182,212.97100956844642,216.81537900492637,12159500
2020-06-25,210.9842529296875,213.38698021436485,209.7591382167025,213.29200491417203,14953100
2020-06-26,204.8587188720703,211.079209651968,202.75988650449244,211.03173649398695,19340600
2020-06-29,204.20343017578125,205.60897476793008,201.1644089665961,204.2129219092863,12333000
2020-06-30,204.84921264648438,205.54248595263817,202.18057196238368,204.88720856230418,12933800
2020-07-01,205.0866241455078,205.6564469191854,203.93750135655793,204.95366743047572,11788100
2020-07-02,212.351806640625,213.7051104153023,208.98987824385478,210.68984039967128,18128700
2020-07-06,227.9268035888672,228.38265313851008,221.1080003372743,221.57334162023616,33702900
2020-07-07,224.61236572265625,229.16141301915664,224.25149146624295,228.88599334612965,16491600
2020-07-08,244.7174072265625,245.48665787866227,231.74458419093204,232.54232453450248,39922700
2020-07-09,248.42120361328125,254.51825822296405,243.03644923101655,252.1914938962529,36803900
2020-07-10,247.87991333007812,248.7251268505123,242.84652668602345,247.12013990353825,20335000
2020-07-13,239.00975036621094,252.29598926981842,238.06954705431886,248.29778124326364,21568700
2020-07-14,236.07518005371094,237.1863214422447,229.0949161487223,234.16629835923433,19782600
2020-07-15,236.67349243164062,239.79798254089906,234.1377940818275,238.82928960339714,12614700
2020-07-16,230.30104064941406,232.72276583077078,228.62958264338695,229.60776734746818,18032100
2020-07-17,234.70762634277344,235.4578790314231,232.1814341151347,234.1473097596253,18742400
2020-07-20,241.9917755126953,244.7079182260858,239.73149682332308,243.54928919129796,19015000
2020-07-21,244.92633056640625,248.74412295064937,243.61574685136105,248.06981864471746,17120700
2020-07-22,239.03823852539062,243.3783373201473,237.0438876373129,242.8939980668705,19682200
2020-07-23,239.2091827392578,244.69841871443091,236.17965335164305,239.41811679986543,25712000
2020-07-24,236.47406005859375,236.9299096108104,229.72172788450175,232.6372985526448,17221500
2020-07-27,238.240478515625,240.14936017056115,233.4445160639431,234.67912241158325,18966900
2020-07-28,236.5215606689453,238.99075916235748,236.02771517378417,238.5159116261786,9878700
2020-07-29,239.75050354003906,241.5074451135458,237.51872895042325,237.74664647956425,11493600
2020-07-30,240.0259246826172,241.0895784683263,237.0628663648338,239.03823374629073,7032900
2020-07-31,238.39244079589844,241.6024000127789,235.6193331599872,241.4124639127403,12304100
2020-08-03,244.96434020996094,247.53800564566103,241.2225394448626,241.24153740314125,11530300
2020-08-04,249.0100555419922,249.3519318509685,245.80008161210242,246.9966776759126,10994500
2020-08-05,251.58372497558594,252.59610896474084,248.5874381830292,250.47256898920682,10673800
2020-08-06,252.31497192382812,252.33398437340853,246.16096659744716,250.1686808359055,10359500
2020-08-07,239.41812133789062,244.7933986514159,235.11600403862784,244.46099959654995,22529600
2020-08-10,235.6478271484375,239.08571844278566,233.71994744005153,236.79694999390716,13621700
2020-08-11,235.92323303222656,240.15887915990018,235.3629164532945,238.64885307821456,10681800
2020-08-12,242.3526611328125,243.1978745832464,236.17013761854562,236.71147070592363,11112300
2020-08-13,240.9566192626953,244.04312804732425,240.15887893163207,243.49231769339664,8794500
2020-08-14,241.1940460205078,242.90349995922494,238.98125487916786,242.63758651222406,7876400
2020-08-17,244.0336151123047,244.4277466459582,237.50447658478828,240.2728310885961,9760000
2020-08-18,246.16094970703125,248.269273715915,243.178893566787,245.69557946013254,13267800
2020-08-19,247.4810028076172,248.14580086359874,244.43249014224014,247.76592868120488,14096500
2020-08-20,244.99281311035156,245.85703901284384,241.39346105104644,243.96715529274198,21460800
2020-08-21,252.4289093017578,253.9769167269703,245.31570331088037,245.99948484280276,25648200
2020-08-24,262.1347961425781,263.03701796032755,257.9561440558034,259.49464527563674,22475800
2020-08-25,271.61279296875,274.5758369821352,262.15383808392954,264.0722117124946,27535500
2020-08-26,277.2729797363281,277.7668397485585,269.8083899880888,274.7088202960667,19530300
2020-08-27,269.8748474121094,275.6489803991395,267.9089717589151,275.57301754955927,14805800
2020-08-28,274.46185302734375,274.9367005239308,269.3050161701817,270.7485421261457,9681500
2020-08-31,272.5909423828125,274.64228696807817,269.342972877211,274.10095388674625,13253800
2020-09-01,283.0091247558594,283.0091247558594,274.33840431659263,274.65181991307304,13797100
2020-09-02,281.17620849609375,283.95880791892324,275.2121249940823,283.95880791892324,12638600
2020-09-03,268.2888488769531,276.1076897665298,264.16717588005804,274.46186663872373,16766200
2020-09-04,267.2347106933594,269.5044668486014,253.93897966188936,265.53474839640836,15885800
2020-09-08,256.4366455078125,260.1879525269188,253.17919846062676,256.63610233450015,12734000
2020-09-09,259.4091796875,261.77393991119527,257.25338250245807,260.64380055901097,9465700
2020-09-10,254.09088134765625,263.1604858332704,253.94843289655046,261.0711452757491,10676800
2020-09-11,257.9466552734375,260.71977753572355,254.63222886629063,258.91536276060503,9412800
2020-09-14,260.3114013671875,262.3912357043846,258.08911857861887,261.50799734109927,7883300
2020-09-15,263.9772033691406,265.05986953673914,260.9761638130767,264.0151992826678,8291400
2020-09-16,264.148193359375,269.338273295173,264.015222141712,266.8927969647522,9583500
2020-09-17,261.8498840332031,262.02082216272396,258.62188352629056,259.3711652255957,8016900
2020-09-18,258.7064208984375,263.32192473096603,256.9399731107251,262.0968390365887,11753500
2020-09-21,260.04547119140625,260.42534336474165,252.99872209912002,255.5629099883148,9076400
2020-09-22,261.4415283203125,262.41971294986286,256.4651071234014,262.134787078241,9673300
2020-09-23,259.2192687988281,263.8537561779809,257.8421994189194,261.54600422182875,7353200
2020-09-24,256.1612548828125,257.604780917333,253.88578926508254,254.4517864126351,9562100
2020-09-25,257.45281982421875,258.1366013987917,251.25131249495806,254.109903783191,11466600
2020-09-28,262.12530517578125,264.81292905771363,260.40540326356535,261.6694411787261,8761700
2020-09-29,262.9990234375,265.2497958993391,261.07114379046067,261.5744809697648,7673300
2020-09-30,279.19134521484375,280.1600236766071,269.43795906218537,269.7228849502743,24777700
2020-10-01,275.4590148925781,280.7203331497949,273.74957553682214,280.40694656144944,16304000
2020-10-02,273.6736145019531,277.2909936298488,272.0971173609351,272.2015698969445,11482800
2020-10-05,273.7685546875,275.41153739597087,270.54910385567956,274.5188218182341,17876400
2020-10-06,277.6813659667969,281.9074917992413,272.47702635203166,272.951873905052,15860400
2020-10-07,281.5845642089844,284.4431553999399,278.13716676209316,282.9996004680809,16669300
2020-10-08,285.4213562011719,287.0927997680219,280.57886210667783,283.11357522117214,15105800
2020-10-09,284.6615905761719,287.38721078575963,282.7622004390495,283.5314511259926,11442200
2020-10-12,290.9295654296875,294.0635763472122,286.1288641174332,288.6598094301874,14780100
2020-10-13,293.246826171875,294.414961476374,287.78607982446186,290.9485514786243,10898500
2020-10-14,285.8962097167969,294.36747344376334,285.66826319378004,293.4557742988758,15157800
2020-10-15,284.3956604003906,284.77840186579164,277.8902437666355,279.0203831503888,9709900
2020-10-16,291.85076904296875,294.4054509195393,287.71011274158377,288.69777467734684,12338000
2020-10-19,289.9324035644531,298.0237947791549,288.1469722724672,294.3010064950243,14107300
2020-10-20,294.2250061035156,296.11488988218287,291.613344849325,292.1261882652175,8806100
2020-10-21,292.47760009765625,298.2042603716115,292.2211928552025,296.0674464039805,11139700
2020-10-22,290.8725891113281,296.162397320228,288.90671346722905,295.79200235145925,8008400
2020-10-23,294.3294982910156,294.71884775124596,288.76427030955864,291.81278325985863,6231400
2020-10-26,291.43292236328125,299.5907995610351,287.94755767612213,294.32950972486003,9350100
2020-10-27,301.1863098144531,303.2566381209235,290.23629778324374,292.2686591540606,13175900
2020-10-28,292.4490966796875,297.7293988510866,290.6066859599123,297.7293988510866,13644500
2020-10-29,296.836669921875,299.70473841759144,293.3702889328475,293.8736261287075,11174500
2020-10-30,289.3625793457031,295.1936917255352,285.0889517352728,293.0283882288795,14918500
2020-11-02,295.2031555175781,295.7729782468742,290.0273357672435,295.30763702610324,11857600
2020-11-03,271.20440673828125,279.47624203150264,266.6553595961493,271.80271922244697,58132500
2020-11-04,280.83428955078125,284.1202549919206,270.94796150253325,273.3127216697516,28791200
2020-11-05,273.27471923828125,276.598651531362,265.5347112665854,274.547306981174,50065200
2020-11-06,284.8610534667969,285.7537691688237,275.20835119347595,276.82661214855574,25259600
2020-11-09,275.9148864746094,288.70727925070435,275.88639678397897,288.4888389676104,22559900
2020-11-10,253.1317138671875,265.9146004749494,251.032867046117,265.88611078419416,61064000
2020-11-11,252.28646850585938,258.24107464681873,248.0650673160411,248.74412473895737,41699000
2020-11-12,251.01390075683594,257.5573136778422,249.807798455808,257.40535898928545,27119100
2020-11-13,247.7184600830078,252.0870632279765,244.2330953851139,251.4032816141345,33942800
2020-11-16,245.3157196044922,249.36142968561055,244.10011113171188,247.31959117821134,20864200
2020-11-17,243.8816680908203,247.1866171744017,243.63476709511704,247.1866171744017,19739500
2020-11-18,242.96047973632812,245.31571933838558,239.8454812168081,244.79339866812637,28307100
2020-11-19,246.81626892089844,248.25028878755265,240.8046828180841,242.17224605557772,20752800
2020-11-20,257.12042236328125,258.66842989464055,248.72512180158495,250.6909974634606,34178400
2020-11-23,256.5221252441406,261.8594359617738,253.00922724155112,260.9287243457323,25317100
2020-11-24,265.8766174316406,266.4939134161499,259.07679741241026,262.33899758257775,20660500
2020-11-25,263.7492980957031,265.27829314306206,260.2639046731476,261.830924618189,15229300
2020-11-27,262.5716857910156,264.888943925116,261.7986094787737,264.7749561791444,9583200
2020-11-30,250.11167907714844,255.43948347692145,249.3139386982977,255.43948347692145,30476100
2020-12-01,250.72898864746094,252.3054858405835,248.41173050647518,252.11553524579122,14573100
2020-12-02,248.17430114746094,249.86475706631165,247.02514934499501,248.82008678333852,13919700
2020-12-03,253.48312377929688,255.08811082423583,249.90278366956858,250.51057346550584,15520500
2020-12-04,253.80599975585938,257.652253079689,252.87528818183978,257.38633962745376,15527600
2020-12-07,250.719482421875,252.590382749243,249.38991520551005,252.33397553042707,11388700
2020-12-08,252.70433044433594,254.8981235008446,250.59600645702224,251.85911699403653,9447700
2020-12-09,250.52952575683594,254.43278722080905,249.8647566559564,254.10038817917382,9060700
2020-12-10,251.5457000732422,252.7043290867558,248.060335791102,248.8105739441353,10290300
2020-12-11,251.23233032226562,251.97309128333592,249.294944353931,250.99490656573806,7771300
2020-12-14,243.15042114257812,247.7327113263509,243.15042114257812,247.22462099953395,18369900
2020-12-15,242.2766876220703,242.81800622680072,239.60804703921042,242.49511341056186,16595600
2020-12-16,248.7156219482422,249.94070755450733,244.10959568905866,244.77436475815978,15804800
2020-12-17,251.12783813476562,251.5267227810464,247.11064689363468,251.3842743296572,14306600
2020-12-18,246.92071533203125,251.57421532450243,246.160970877813,250.62452026553308,15981800
2020-12-21,247.3290557861328,247.35754547613357,241.69737153098805,242.33366542633053,10901800
2020-12-22,242.96047973632812,245.34420902981077,242.5616095651794,244.8978512092214,11468400
2020-12-23,243.29286193847656,244.40401785805767,239.82648093089523,242.6470762841792,10729200
2020-12-24,210.83229064941406,218.33487537604555,200.6040714103739,216.75363957230107,141830000
2020-12-28,211.17417907714844,213.6718815441944,204.48833270717623,205.9698545766408,73512100
2020-12-29,224.37493896484375,227.15755289344392,218.04998118000674,220.10131139852896,69715900
2020-12-30,226.3977813720703,231.14625618124262,222.84117837718267,231.10637641233748,44812300
